"id","country","name","sex","age","president","start_president","end_president","ministry","start_minister","end_minister","non_party","president_party","economist","lawyer","inner_circle","party_leader","exp_executive","exp_congress","exp_ngo","exp_thinktanks","exp_business","political_kinship"
193,"Chile","Sartori Arellano, Ángel","man",51,"Eduardo Frei",1994-03-11,2000-03-11,"Agricultura",1999-06-22,2000-03-11,0,1,0,0,0,0,0,0,0,0,0,0
194,"Chile","Schiefelbein Fuenzalida, Ernesto","man",59,"Eduardo Frei",1994-03-11,2000-03-11,"Educación",1994-03-11,1994-09-20,1,0,0,0,1,0,0,0,1,1,0,0
195,"Chile","Schmidt Crnosija, Romy","woman",40,"Michelle Bachelet",2006-03-11,2010-03-11,"Bienes Nacionales",2006-03-11,2010-01-06,0,0,0,1,0,0,0,0,1,1,0,0
196,"Chile","Schmidt Zaldívar, Carolina","woman",43,"Sebastián Piñera",2010-03-11,2014-03-11,"Educación",2013-04-22,2014-03-11,1,0,0,0,0,0,0,0,0,0,1,1
197,"Chile","Schmidt Zaldívar, Carolina","woman",40,"Sebastián Piñera",2010-03-11,2014-03-11,"SERNAM",2010-03-11,2013-04-22,1,0,0,0,0,0,0,0,0,0,1,1
198,"Chile","Seguel King, Loreto","woman",36,"Sebastián Piñera",2010-03-11,2014-03-11,"SERNAM",2013-04-22,2014-03-11,0,0,0,0,1,0,0,0,1,1,0,0
199,"Chile","Serrano Madrid, Claudia","woman",51,"Michelle Bachelet",2006-03-11,2010-03-11,"Trabajo y Previsión Social",2008-12-15,2010-03-11,0,1,0,0,1,0,0,0,1,1,0,0
200,"Chile","Silva Cimma, Enrique","man",71,"Patricio Aylwin",1990-03-11,1994-03-11,"Relaciones Exteriores",1990-03-11,1994-03-11,0,0,0,1,1,1,1,0,1,0,0,1
201,"Chile","Silva Rojas, María Loreto","woman",48,"Sebastián Piñera",2010-03-11,2014-03-11,"Obras Públicas",2012-11-05,2014-03-11,1,0,0,1,0,0,0,0,0,0,0,0
202,"Chile","Solari Saavedra, Ricardo","man",45,"Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social",2000-03-11,2005-04-25,0,0,1,0,1,1,0,0,1,1,0,0
203,"Chile","Solís Palma, Isidro","man",51,"Michelle Bachelet",2006-03-11,2010-03-11,"Justicia",2006-03-11,2007-03-27,0,0,0,1,1,1,1,0,1,0,0,0
204,"Chile","Teplizky Lijavetzky, Benjamín","man",61,"Eduardo Frei",1994-03-11,2000-03-11,"Minería",1994-03-11,1997-08-03,0,0,0,1,0,0,1,0,1,0,1,0
205,"Chile","Tohá González, Jaime","man",55,"Patricio Aylwin",1990-03-11,1994-03-11,"Economía, Fomento y Reconstrucción",1993-12-15,1994-03-11,0,0,0,0,0,0,0,0,0,0,0,1
206,"Chile","Tohá González, Jaime","man",60,"Eduardo Frei",1994-03-11,2000-03-11,"Obras Públicas",1998-08-01,2000-03-09,0,0,0,0,1,0,1,0,0,0,0,1
207,"Chile","Tohá González, Jaime","man",51,"Patricio Aylwin",1990-03-11,1994-03-11,"Comisión Nacional de Energía",1990-03-11,1994-03-11,0,0,0,0,0,0,0,0,0,0,0,1
208,"Chile","Tohá Morales, Carolina","woman",43,"Michelle Bachelet",2006-03-11,2010-03-11,"SEGEGOB",2009-03-12,2009-12-14,0,0,0,1,1,1,0,1,1,1,0,1
209,"Chile","Tokman Ramos, Marcelo","man",39,"Michelle Bachelet",2006-03-11,2010-03-11,"Comisión Nacional de Energía",2007-03-26,2010-03-11,0,0,1,0,0,0,0,0,1,1,0,0
210,"Chile","Troncoso Castillo, Raúl","man",63,"Eduardo Frei",1994-03-11,2000-03-11,"Interior",1998-08-01,2000-03-11,0,1,0,1,1,0,1,0,0,0,0,0
211,"Chile","Troncoso Castillo, Raúl","man",62,"Eduardo Frei",1994-03-11,2000-03-11,"Defensa Nacional",1998-01-16,1998-08-01,0,1,0,1,1,0,1,0,0,0,0,0
212,"Chile","Tschorne Berestesky, Sonia","woman",49,"Ricardo Lagos",2000-03-11,2006-03-11,"Vivienda y Urbanismo",2004-09-29,2006-03-11,0,1,0,0,0,0,1,0,0,0,0,0
213,"Chile","Tschorne Berestesky, Sonia","woman",49,"Ricardo Lagos",2000-03-11,2006-03-11,"Bienes Nacionales",2004-09-29,2006-03-11,0,1,0,0,0,0,1,0,0,0,0,0
214,"Chile","Uriarte Rodríguez, Ana Lya","woman",44,"Michelle Bachelet",2006-03-11,2010-03-11,"Comisión Nacional de Medio Ambiente",2007-03-26,2010-03-11,0,1,0,1,1,0,0,0,0,0,0,0
215,"Chile","Urrutia Fernández, Paulina","woman",37,"Michelle Bachelet",2006-03-11,2010-03-11,"Consejo Nacional de la Cultura y las Artes",2006-03-11,2010-03-11,1,0,0,0,0,0,0,0,1,0,0,0
216,"Chile","Valdés Soublette, Juan Gabriel","man",52,"Eduardo Frei",1994-03-11,2000-03-11,"Relaciones Exteriores",1999-06-22,2000-03-11,0,0,0,1,1,0,0,0,0,0,0,1
217,"Chile","Velasco Baraona, Belisario","man",70,"Michelle Bachelet",2006-03-11,2010-03-11,"Interior",2006-07-14,2008-01-04,0,0,0,0,0,1,0,0,0,0,1,0
218,"Chile","Velasco Brañes , Andrés","man",45,"Michelle Bachelet",2006-03-11,2010-03-11,"Hacienda",2006-03-11,2010-03-11,1,0,1,0,1,0,1,0,1,1,0,1
219,"Chile","Veloso Valenzuela, Paulina","woman",49,"Michelle Bachelet",2006-03-11,2010-03-11,"SEGPRES",2006-03-11,2007-03-26,0,1,0,1,1,0,1,0,0,0,0,1
220,"Chile","Vidal Salinas, Francisco","man",49,"Ricardo Lagos",2000-03-11,2006-03-11,"SEGEGOB",2003-03-03,2005-05-24,0,1,0,0,1,1,0,0,1,0,0,0
221,"Chile","Vidal Salinas, Francisco","man",51,"Ricardo Lagos",2000-03-11,2006-03-11,"Interior",2005-05-24,2006-03-11,0,1,0,0,1,1,0,0,1,0,0,0
222,"Chile","Vidal Salinas, Francisco","man",54,"Michelle Bachelet",2006-03-11,2010-03-11,"SEGEGOB",2007-12-06,2009-03-12,0,0,0,0,0,1,1,0,1,0,0,0
223,"Chile","Vidal Salinas, Francisco","man",55,"Michelle Bachelet",2006-03-11,2010-03-11,"Defensa Nacional",2009-03-12,2010-03-11,0,0,0,0,0,1,1,0,1,0,0,0
224,"Chile","Viera-Gallo Quesney, José Antonio","man",63,"Michelle Bachelet",2006-03-11,2010-03-11,"SEGPRES",2007-03-26,2010-03-11,0,1,0,1,0,1,0,1,1,0,0,1
225,"Chile","Villarzú Rohde, Juan","man",52,"Eduardo Frei",1994-03-11,2000-03-11,"SEGPRES",1996-09-28,1998-08-01,0,1,0,0,1,0,1,0,0,0,1,0
226,"Chile","Von Baer Jahn, Ena","woman",35,"Sebastián Piñera",2010-03-11,2014-03-11,"SEGEGOB",2010-03-11,2011-07-18,0,0,0,0,0,0,0,0,0,0,0,0
227,"Chile","Walker Prieto, Ignacio","man",48,"Ricardo Lagos",2000-03-11,2006-03-11,"Relaciones Exteriores",2004-09-29,2006-03-11,0,0,0,1,0,1,0,1,1,0,0,1
228,"Chile","Weinstein Cayuela, José","man",44,"Ricardo Lagos",2000-03-11,2006-03-11,"Consejo Nacional de la Cultura y las Artes",2003-08-06,2006-03-11,0,1,0,0,1,0,0,0,1,1,0,0
229,"Chile","Weinstein Levy, Jacqueline","woman",61,"Michelle Bachelet",2006-03-11,2010-03-11,"Bienes Nacionales",2010-01-06,2010-03-11,0,0,0,0,0,0,0,0,1,1,0,0
230,"Chile","Zaldívar Larraín, Andrés","man",69,"Michelle Bachelet",2006-03-11,2010-03-11,"Interior",2006-03-11,2006-07-14,0,0,0,1,0,1,0,1,1,0,0,1
231,"Chile","Zilic Hrepic, Martín","man",58,"Michelle Bachelet",2006-03-11,2010-03-11,"Educación",2006-03-11,2006-07-14,0,0,0,0,1,1,0,0,0,0,0,0
232,"Chile","Álvarez Zenteno, Rodrigo","man",44,"Sebastián Piñera",2010-03-11,2014-03-11,"Energía",2011-07-22,2012-03-27,0,0,0,1,0,1,0,1,0,0,0,0
